id	name	ec	residual	definition	candidates
rxn04533	R06701	null	C:+1,H:+2	(1) Tetracenomycin D3[0] <= (1) Tetracenomycin B3[0]	methyl (SAM/SAH)
rxn04534	R06702	null	C:+1,H:+2	(1) Tetracenomycin B3[0] <= (1) Tetracenomycin E[0]	methyl (SAM/SAH)
rxn04538	R06706	null	C:+1,H:+3,charge:+1	(1) Tetracenomycin F1[0] <= (1) Tetracenomycin F1 methylester[0]	methyl (SAM/SAH)
rxn04541	R06709	null	C:+1,H:+3,charge:+1	(1) Tetracenomycin D3[0] <= (1) Tetracenomycin D3 methylester[0]	methyl (SAM/SAH)
rxn04545	R06713	null	C:+1,H:+3,charge:+1	(1) Tetracenomycin B3[0] <= (1) Tetracenomycin B2[0]	methyl (SAM/SAH)
rxn04552	rxn04552	null	C:+1,H:+2	(1) Premithramycin A3[0] + (2) dTDP-beta-D-olivose[0] <=> (2) dTDP[0] + (1) Premithramycin B[0]	methyl (SAM/SAH)
rxn04569	R06738	null	C:-1,H:-2	(1) Nicotine[0] => (1) Nornicotine[0]	methyl (SAM/SAH)
rxn04637	R06822	null	C:+6,H:+9,O:+5,charge:-1	(1) Apigenin[0] <=> (1) Vitexin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn04640	R06825	null	C:+6,H:+11,O:+5,charge:+1	(1) Apigenin[0] <=> (1) Isovitexin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn04656	rxn04656	null	C:+2,H:+1,O:+1,charge:-1	(1) L-2-Aminoadipate[0] => (1) N2-Acetyl-L-aminoadipate[0]	acetyl (AcCoA/CoA)
rxn04799	rxn04799	null	C:+1,H:+2	(1) Rifamycin W[0] <=> (1) Methane[0] + (1) Rifamycin W-hemiacetal[0]	methyl (SAM/SAH)
rxn04801	R06994	null	C:-1,H:-2	(1) H+[0] + (1) Rifamycin W-hemiacetal[0] <= (1) Demethyl-desacetyl-rifamycin S[0]	methyl (SAM/SAH)
rxn04804	R06997	null	C:+2,H:+2,O:+1	(1) Demethyl-desacetyl-rifamycin SV[0] => (1) 27-O-Demethyl-rifamycin SV[0]	acetyl (AcCoA/CoA)
rxn05134	rxn05134	null	C:+1,H:+2	(1) TRIBOA[0] <= (1) DIMBOA[0]	methyl (SAM/SAH)
rxn05740	1,4-alpha-glucan-branching enzyme	null	C:+6,H:+10,O:+5	(1) Phosphate[0] + (1) Glycogen[0] <=> (1) Glucose-1-phosphate[0] + (1) glycogen(n-1)[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn05800	UDP-glucose:glycogen 4-alpha-D-glucosyltransferase	2.4.1.11|2.4.1.12|2.4.1.168|2.4.1.183|2.4.1.34	C:-6,H:-10,O:-5	(1) UDP-glucose[0] <= (1) UDP[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn05852	UDP-galactose:galactan beta-1,4-D-galactosyltransferase	2.4.1.-|2.4.1.205	C:-6,H:-10,O:-5	(1) UDP-galactose[0] <= (1) UDP[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn05907	GDPmannose:mannan 1,4-beta-D-mannosyltransferase	2.4.1.-|2.4.1.32	C:-6,H:-10,O:-5	(1) GDP-mannose[0] <= (1) GDP[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn06049	1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase	2.4.1.1|2.4.1.30|2.4.1.333|2.4.1.97	C:+6,H:+10,O:+5	(1) Phosphate[0] => (1) Glucose-1-phosphate[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn06050	Sucrose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase	2.4.1.125|2.4.1.4|2.4.1.5	C:-6,H:-10,O:-5	(1) Sucrose[0] <= (1) D-Fructose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn06165	ADP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase	2.4.1.21	C:-6,H:-10,O:-5	(1) ADPglucose[0] <= (1) ADP[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn06273	GDPglucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase	2.4.1.29	C:+6,H:+10,O:+5	(1) GDP[0] => (1) GDP-glucose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn06618	Sucrose:2,1-beta-D-fructan 1-beta-D-fructosyltransferase	2.4.1.9	C:-6,H:-10,O:-5	(1) Sucrose[0] <= (1) D-Glucose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
