id	class	signature	redox	ec_class	n_species	definition
rxn40475	oxygen_only	O:+1			2	(1) NS-5[0] => (1) Thienamycin[0]
rxn40479	skeleton:C	C:+1			3	(1) Pantetheine[0] + (1) C20821[0] <= (1) OA-6129 A[0]
rxn40483	charge_only	charge:+2			3	(1) C20818[0] => (2) H+[0] + (1) C20822[0]
rxn40485	charge_only	charge:-2			3	(2) H+[0] + (1) C20823[0] <= (1) C20819[0]
rxn40486	oxygen_only	O:+1			2	(1) C20822[0] => (1) Northienamycin[0]
rxn40496	skeleton:C,N,P,S	C:+100,H:+140,N:+28,O:+76,P:+12,S:+4,charge:-20	NADP+NADPH		9	(28) NADPH[0] + (47) H+[0] + (15) Malonyl-CoA[0] + (1) PABA -CoA[0] => (16) H2O[0] + (28) NADP[0] + (20) CoA[0] + (15) C
rxn40614	skeleton:C,N,S	C:-20,H:-29,N:-6,O:-12,S:-2,charge:+3		1	3	(1) GSH[0] + (1) 6-(glutathion-S-yl)-2-methylhydroquinone[0] <= (1) 1,4-dihydroxy-2-methylbenzene[0]
rxn40626	skeleton:C,N	C:-40,H:-62,N:-8,O:-21,charge:+2		2	2	(1) GlcNAc-(1->4)-MurNAc-pentapeptide-diphosphoundecaprenol[0] <= (1) Bactoprenyl diphosphate[0]
rxn40702	skeleton:C	C:+10,H:+7,O:+4,charge:-1		3	2	(1) H2O[0] => (1) 4-[(2-hydroxyethoxy)carbonyl]benzoate[0]
rxn40795	skeleton:C,N,P	C:-115,H:-207,N:-3,O:-42,P:-2,charge:+4		2	3	(1) kdo2-lipid a[0] + (1) Undecaprenyl phosphate alpha-L-Ara4N[0] <= (1) di-trans,poly-cis-Undecaprenyl phosphate[0]
rxn40816	skeleton:C,P	C:-3,H:-2,O:-6,P:-1,charge:+3		2	4	(1) Pyruvate[0] + (1) GTP[0] <= (1) GDP[0] + (1) H+[0]
rxn40831	skeleton:C,N	C:-11,H:-13,N:-4,O:-5,charge:+1	NADP+NADPH	1	4	(1) NADP[0] + (1) Coformycin[0] => (1) NADPH[0] + (2) H+[0]
rxn40845	skeleton:C	C:+11,H:+16,O:+12			2	(1) 12,13beta-epoxy-16beta-hydroxy-beta-amyrin[0] <=> (1) monodeglucosyl des-acyl avenacin A[0]
rxn40863	charge_only	charge:+1		4	4	(1) pyridin-1-ium-3-thioamide-5-thiocarboxylate mononucleotide Ni pincer complex[0] <=> (1) H+[0] + (1) Ni2+[0] + (1) P2
rxn40864	charge_only	charge:-2		2	5	(1) UDP-glucose[0] + (3) H+[0] + (1) Apigenin[0] <=> (1) UDP[0] + (1) naringenin chalcone 4'-O-glucoside[0]
rxn40866	charge_only	charge:+2			3	(1) notoamide S[0] => (2) H+[0] + (1) notoamide E[0]
rxn40868	skeleton:C	C:-1,H:-3,O:+1,charge:-1	NADP+NADPH+O2		12	(2) NADPH[0] + (2) O2[0] + (2) S-Adenosyl-L-methionine[0] + (1) H+[0] + (1) all-trans-Hexaprenyl diphosphate[0] + (1) 2,
rxn40885	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4			5	(2) GSH[0] + (1) 2,5-DCHQ[0] <=> (1) H+[0] + (1) Cl-[0] + (1) Chloroquinol[0]
rxn40893	skeleton:C	C:-6,H:-7,O:-6,charge:-1			5	(1) L-Ascorbate[0] + (1) H+[0] + (1) Antheraxanthin[0] <= (1) H2O[0] + (1) Zeaxanthin[0]
rxn40896	skeleton:C,N,P	C:-91,H:-159,N:-2,O:-43,P:-2,charge:+7			4	(1) kdo2-lipid iva[0] + (1) ADP-L-glycero-D-manno-heptose[0] <=> (1) ADP[0] + (1) H+[0]
rxn40911	skeleton:C	C:+6,H:+10,O:+5		2	2	(1) Phosphate[0] => (1) D-Mannose1-phosphate[0]
rxn40913	skeleton:C,N,P,S	C:+50,H:+70,N:+14,O:+38,P:+6,S:+2,charge:-10	NADP+NADPH		8	(11) NADPH[0] + (22) H+[0] + (9) Malonyl-CoA[0] => (5) H2O[0] + (11) NADP[0] + (11) CoA[0] + (11) CO2[0] + (1) (3E,5E,7E
rxn40919	skeleton:C,N	C:-1,H:-4,N:-1,charge:-1	NADP+NADPH+O2		7	(1) NADP[0] + (1) O2[0] + (1) ferribactin[0] <=> (1) H2O[0] + (1) NADPH[0] + (1) H+[0] + (1) Pyoverdine I[0]
rxn40941	skeleton:C,N	C:-10,H:-16,N:-4,O:-3		6	6	(1) ATP[0] + (1) L-Glutamate[0] + (1) Histamine[0] => (1) ADP[0] + (1) Phosphate[0] + (1) H+[0]
rxn40954	skeleton:C	C:-7,H:-14,O:-6		2	4	(1) S-Adenosyl-L-methionine[0] + (1) L-Inositol[0] <= (1) S-Adenosyl-homocysteine[0] + (1) H+[0]
rxn40991	skeleton:C	C:+1,H:-2			2	(1) Matairesinol[0] <= (1) 7(8),7'(8')-tetrahydroisojusticidin B[0]
rxn41010	skeleton:C,N	C:-9,H:-20,N:-3,O:-3,charge:-1		6	6	(1) ATP[0] + (1) L-Glutamate[0] + (1) Putrescine[0] => (1) ADP[0] + (1) Phosphate[0] + (1) H+[0]
rxn41016	H_O_charge	H:-2,O:+1			2	(1) 11-deoxoglycyrrhetinate[0] => (1) 3-beta-hydroxyglycyrrhetinate[0]
rxn41051	oxygen_only	O:+2			3	(1) Deoxypumiloside[0] => (1) D-Glucose[0] + (1) Camptothecin[0]
rxn41056	skeleton:C	C:-7,H:-7,O:-5,charge:+1	NADP+NADPH	1	4	(1) NADP[0] + (1) Shikimate[0] <= (1) NADPH[0] + (1) H+[0]
rxn41089	H_O_charge	H:-3,O:+1,charge:-1			2	(1) L-2-amino-8-hydroxyoctanoate[0] => (1) L-2-aminooctanedioate[0]
rxn41117	skeleton:C,P	C:-55,H:-88,O:-6,P:-2,charge:+2		2	4	(1) GDP-L-colitose[0] + (1) beta-D-galactosyl-[1->3]-N-acetyl-beta-D-glucosaminyl-[1->3]-alpha-D-galactosyl-[1->3]-N-ace
rxn41145	H_O_charge	H:-1,O:-2,charge:-1			2	(1) Strictosidine aglycone[0] <=> (1) Catharanthine[0]
rxn41180	skeleton:C,N,P	C:-10,H:-12,N:-5,O:-10,P:-2,charge:+3		2	3	(1) GTP[0] + (1) dGMP[0] <= (1) GDP[0]
rxn41218	skeleton:C	C:-12,H:-20,O:-10			2	(1) Amylotriose[0] <= (1) D-Glucose[0]
