id,name,abbreviation,ec_numbers,reversibility,deltag,deltagerr,definition,is_transport,rxn_smiles
rxn00035,columbamine:oxygen oxidoreductase (cyclizing),R00044,['1.21.3.2'],>,-119.25,1.85,(1) O2[0] + (2) Columbamine[0] => (2) H2O[0] + (2) Berberine[0],0,O=O.COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2>>O.O.COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
rxn00036,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase",R00045,['1.10.3.1'],>,-82.41,3.41,(1) O2[0] + (2) L-Dopa[0] => (2) H2O[0] + (2) Dopaquinone[0],0,O=O.[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]>>O.O.[NH3+][C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)[O-].[NH3+][C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)[O-]
rxn00037,"omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)",R_R00047_c,['1.14.99.-'],>,-107.75,2.01,"(1) O2[0] + (2) H+[0] + (2) 6-Hydroxynicotinate[0] => (2) CO2[0] + (2) 2,5-Dihydroxypyridine[0]",0,O=O.[H+].[H+].O=C([O-])c1ccc(=O)[nH]c1.O=C([O-])c1ccc(=O)[nH]c1>>O=C=O.O=C=O.O=c1ccc(O)c[nH]1.O=c1ccc(O)c[nH]1
rxn00038,(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,R00048,['3.1.1.22'],>,-11.98,1.19,(1) H2O[0] + (1) (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate[0] => (1) H+[0] + (2) (R)-3-Hydroxybutanoate[0],0,O.C[C@H](CC(=O)[O-])OC(=O)C[C@@H](C)O>>[H+].C[C@@H](O)CC(=O)[O-].C[C@@H](O)CC(=O)[O-]
rxn00039,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,R00049,['2.3.1.90'],=,-2.55,0.35,"(2) beta-Glucogallin[0] <=> (1) D-Glucose[0] + (1) 1-O,6-O-Digalloyl-beta-D-glucose[0]",0,O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1.O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1
rxn00040,digallate acylhydrolase,R00053,['3.1.1.20'],>,-13.77,0.8,(1) H2O[0] + (1) Digallate[0] => (1) H+[0] + (2) Gallate[0],0,O.O=C([O-])c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1>>[H+].O=C([O-])c1cc(O)c(O)c(O)c1.O=C([O-])c1cc(O)c(O)c(O)c1
rxn00041,orsellinate-depside hydrolase,R00054,['3.1.1.40'],>,-13.87,0.8,(1) H2O[0] + (1) Lecanoric acid[0] => (1) H+[0] + (2) Orsellinate[0],0,O.Cc1cc(OC(=O)c2c(C)cc(O)cc2O)cc(O)c1C(=O)[O-]>>[H+].Cc1cc(O)cc(O)c1C(=O)[O-].Cc1cc(O)cc(O)c1C(=O)[O-]
rxn00042,inosine:oxygen 5'-oxidoreductase,R00055,['1.1.3.28'],>,-101.47,1.76,(1) O2[0] + (2) Inosine[0] => (2) H2O[0] + (2) 5'-Oxoinosine[0],0,O=O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O>>O.O.O=C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O.O=C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
rxn00043,catechol:oxygen oxidoreductase,R00058,"['1.10.3.1', '1.14.18.1']",>,-71.27,4.91,"(1) O2[0] + (2) Catechol[0] => (2) H2O[0] + (2) 1,2-Benzoquinone[0]",0,O=O.Oc1ccccc1O.Oc1ccccc1O>>O.O.O=C1C=CC=CC1=O.O=C1C=CC=CC1=O
rxn00044,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,R00059,['3.5.1.46'],=,1.15,0.41,(1) H2O[0] + (1) N-(6-Aminohexanoyl)-6-aminohexanoate[0] <=> (2) Epsilcapramine[0],0,O.[NH3+]CCCCCC(=O)NCCCCCC(=O)[O-]>>[NH3+]CCCCCC(=O)[O-].[NH3+]CCCCCC(=O)[O-]
