compound_id,frequency,name
cpd30072,25,"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))"
cpd40170,25,a 1-acyl-sn-glycero-3-phosphoethanolamine
cpd00225,24,Benzaldehyde
cpd00355,24,Nicotinamide ribonucleotide
cpd01046,24,Allysine
cpd00306,24,Xylitol
cpd00691,24,UDP-L-arabinose
cpd00212,24,L-Sorbose
cpd00213,24,Lipoamide
cpd00224,24,L-Arabinose
cpd00881,24,Caffeate
cpd00302,24,Zeatin
cpd01170,24,Ergosterol
cpd01663,24,Chenodiol
cpd03453,24,Enterobactin
cpd08615,24,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate
cpd05521,24,Violaxanthin
cpd11615,24,tRNA
cpd12207,24,Oxidized flavodoxin
cpd15290,24,Ubiquinone-6
cpd08505,24,Anandamide
cpd21005,24,"7,9,9'-tricis-Neurosporene"
cpd28018,24,Quinones
cpd27742,24,Oxidized-Factor-F420
cpd28067,24,Reduced-Factor-F420
cpd27340,24,L-1-PHOSPHATIDYL-GLYCEROL
cpd34766,24,"1,2-diolein"
cpd43293,24,N(pros)-phospho-L-histidyl-[protein]
cpd00561,23,Vanillin
cpd00865,23,1-O-Sinapoyl-beta-D-glucose
cpd00423,23,Vitamin B12r
cpd00858,23,L-Glutamate5-semialdehyde
cpd00354,23,NDP
cpd00315,23,GDP-glucose
cpd00152,23,Agmatine
cpd00485,23,D-Mannose1-phosphate
cpd01171,23,Dulcose
cpd00293,23,N-Acetyl-D-glucosamine 6-phosphate
cpd00298,23,dTMP
cpd00533,23,dCDP
cpd00435,23,Phenylcarbinol
cpd00866,23,17alpha-Hydroxyprogesterone
cpd00699,23,5-Dehydroquinate
cpd00486,23,Indoleacetaldehyde
cpd01342,23,Pregnenolone
cpd00458,23,Coniferol
cpd00554,23,Nicotine
cpd01182,23,Kynurenate
cpd03038,23,14-Demethyllanosterol
cpd01880,23,3-Indoleacetaldoxime
cpd04167,23,TCE
cpd08920,23,Mirtillin
cpd00030,23,Mn2+
cpd01904,23,Decaprenol phosphate
cpd14536,23,3-Dehydro-6-deoxoteasterone
cpd01399,23,Maltotetraose
cpd01022,23,Lactate
cpd21148,23,N-Acetyl-alpha-neuraminate
cpd01487,23,alpha-D-Xylose
cpd27685,23,Nucleoside-Diphosphates
cpd25195,23,1-16:0-lysoPE
cpd30412,23,octadecenoate (18:1(9Z))
cpd19194,23,L-Arginyl-protein
cpd43486,23,a menaquinone
cpd00371,22,Propanal
cpd00447,22,Betaine aldehyde
cpd01020,22,Gallate
cpd00336,22,Prostaglandin H2
cpd00891,22,L-methylmalonyl-CoA
cpd00245,22,Aniline
cpd00097,22,Pyrroloquinoline-quinone
cpd00198,22,D-Xylulose5-phosphate
cpd01311,22,Dethiobiotin
cpd01011,22,Butanal
cpd02484,22,Inositol 3-phosphate
cpd00334,22,L-Lactaldehyde
cpd00878,22,Glucocerebroside
cpd00184,22,Thymidine
cpd00299,22,dUMP
cpd00263,22,Pyridoxol
cpd00346,22,L-Aspartate4-semialdehyde
cpd00904,22,DHA
cpd00296,22,dGMP
cpd00269,22,2-Oxoadipate
cpd03629,22,Copalyl diphosphate
cpd00422,22,Cinnamoyl-CoA
cpd03624,22,(-)-ABA
cpd00364,22,Chinone
cpd00396,22,L-Rhamnose
cpd00834,22,Phosphopantetheine
cpd02188,22,"2-trans,6-trans-Farnesal"
cpd02475,22,Lithocholate
cpd03502,22,IdB 1027
cpd03220,22,gamma-Carotene
cpd08927,22,Ceramide II
