cpd_id	result_type	field	old_value	new_value	pubchem_cid	strategy	query
cpd00532	MISMATCH	SMILE	[O][O-]	[O-][O]	5359597	chebi_xref	CHEBI:18421
cpd00532	MISMATCH	InChIKey	MXDZWXWHPVATGF-UHFFFAOYSA-N	OUUQCZGPVNCOIJ-UHFFFAOYSA-M	5359597	chebi_xref	CHEBI:18421
cpd00532	MISMATCH	InChI	InChI=1S/O2/c1-2/q-1	InChI=1S/HO2/c1-2/h1H/p-1	5359597	chebi_xref	CHEBI:18421
cpd00544	STEREO_DIFF	SMILE	C[NH+]1[C@@H]2CC[C@H]1C[C@@H](O)C2	C[NH+]1[C@@H]2CC[C@H]1CC(C2)O	11859618	chebi_xref	CHEBI:57554
cpd00544	STEREO_DIFF	InChIKey	CYHOMWAPJJPNMW-JIGDXULJSA-O	CYHOMWAPJJPNMW-DHBOJHSNSA-O	11859618	chebi_xref	CHEBI:57554
cpd00544	STEREO_DIFF	InChI	InChI=1S/C8H15NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-8,10H,2-5H2,1H3/p+1/t6-,7+,8+	InChI=1S/C8H15NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-8,10H,2-5H2,1H3/p+1/t6-,7+,8?	11859618	chebi_xref	CHEBI:57554
cpd00557	MISMATCH	InChIKey	WSLFSYIISWXHLN-KQRLNVEUSA-F	BGDZOENYZCAFCO-QIISWYHFSA-D	70678579	chebi_xref	CHEBI:60052
cpd00557	MISMATCH	InChI	InChI=1S/C42H44N4O16.Fe/c1-41(17-39(59)60)23(5-9-35(51)52)29-14-27-21(11-37(55)56)19(3-7-33(47)48)25(43-27)13-26-20(4-8-34(49)50)22(12-38(57)58)28(44-26)15-31-42(2,18-40(61)62)24(6-10-36(53)54)30(46-31)16-32(41)45-29;/h13-16,23-24H,3-12,17-18H2,1-2H3,(H8-,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62);/q-2;+2/p-8/b26-13-,28-15-,29-14-;/t23-,24-,41+,42+;/m1./s1	InChI=1S/C42H46N4O16.Fe/c1-41(17-39(59)60)23(5-9-35(51)52)29-14-27-21(11-37(55)56)19(3-7-33(47)48)25(43-27)13-26-20(4-8-34(49)50)22(12-38(57)58)28(44-26)15-31-42(2,18-40(61)62)24(6-10-36(53)54)30(46-31)16-32(41)45-29;/h13-16,23-24H,3-12,17-18H2,1-2H3,(H10,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62);/p-10/t23-,24-,41+,42+;/m1./s1	70678579	chebi_xref	CHEBI:60052
cpd00602	STEREO_DIFF	SMILE	CC12CCC(CC1=O)C2(C)C	C[C@]12CC[C@H](C1(C)C)CC2=O	444294	chebi_xref	CHEBI:15397
cpd00602	STEREO_DIFF	InChIKey	DSSYKIVIOFKYAU-UHFFFAOYSA-N	DSSYKIVIOFKYAU-OIBJUYFYSA-N	444294	chebi_xref	CHEBI:15397
cpd00602	STEREO_DIFF	InChI	InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3	InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3/t7-,10+/m0/s1	444294	chebi_xref	CHEBI:15397
cpd00605	MISMATCH	SMILE	O=C1N=C([O-])CC(O)=N1	C1=C(NC(=O)NC1=O)[O-]	5243930	chebi_xref	CHEBI:77938
cpd00605	MISMATCH	InChIKey	HNYOPLTXPVRDBG-UHFFFAOYSA-M	GWEJPUMJAQFCBN-UHFFFAOYSA-M	5243930	chebi_xref	CHEBI:77938
cpd00605	MISMATCH	InChI	InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H2,(H2,5,6,7,8,9)/p-1	InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H,(H3,5,6,7,8,9)/p-1	5243930	chebi_xref	CHEBI:77938
cpd00624	STEREO_DIFF	SMILE	NC(=[NH2+])N[C@@H]1[C@@H](O)[C@H](NC(N)=[NH2+])[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1O)[NH+]=C(N)N)O)O)O)[NH+]=C(N)N	44123424	chebi_xref	CHEBI:184376
cpd00624	STEREO_DIFF	InChIKey	MSXMXWJPFIDEMT-FAEUDGQSSA-P	MSXMXWJPFIDEMT-XGNJAFTASA-P	44123424	chebi_xref	CHEBI:184376
cpd00624	STEREO_DIFF	InChI	InChI=1S/C8H18N6O4/c9-7(10)13-1-3(15)2(14-8(11)12)5(17)6(18)4(1)16/h1-6,15-18H,(H4,9,10,13)(H4,11,12,14)/p+2/t1-,2+,3-,4+,5-,6-	InChI=1S/C8H18N6O4/c9-7(10)13-1-3(15)2(14-8(11)12)5(17)6(18)4(1)16/h1-6,15-18H,(H4,9,10,13)(H4,11,12,14)/p+2/t1-,2+,3?,4+,5-,6?	44123424	chebi_xref	CHEBI:184376
cpd00635	MISMATCH	SMILE	CC1=C2N/C(=C\C3=C(CCC(=N)[O-])[C@](C)(CC(=N)O)C(=N3)C(C)=C3N[C@@](C)([C@@H]4N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O[C@H]1[C@@H](O)[C@@H]([n+]5c[nH]c6cc(C)c(C)cc65)O[C@@H]1CO)[C@H]4CC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[Co+]	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co]	5460183	chebi_xref	CHEBI:60488
cpd00635	MISMATCH	InChIKey	QANKJVJIINUQFB-HSZGVAHJSA-K	FEZWOUWWJOYMLT-DSRCUDDDSA-L	5460183	chebi_xref	CHEBI:60488
