cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd35202	(1R)-1,4,5,10-tetrahydrophenazine-1-carboxylate	CHEBI:132005	chebi_xref	MISMATCH	OYYAPLARXUACPJ-RZZZFEHKSA-M	WGOVWFNMPRCMBJ-MRVPVSSYSA-M	119058161	O=C([O-])[C@@H]1C=CCC2Nc3ccccc3N=C21	C1C=C[C@H](C2=C1NC3=CC=CC=C3N2)C(=O)[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35235	(1S,4aS,12aS)-3-carbamoyl-4a,6,7-trihydroxy-11-methyl-1-(methylazaniumyl)-4,5-dioxo-1,4,4a,5,12,12a-hexahydrotetracen-2-olate	CHEBI:133696	chebi_xref	MISMATCH	IIHPMGDKNZPGON-QYAMTVPHSA-N	LJLCFQKDCDGSSK-QYAMTVPHSA-N	122198284	C[NH2+][C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(=O)c3c(c(C)c4cccc(O)c4c3O)C[C@@H]12	CC1=C2C=CC=C(C2=C(C3=C1C[C@H]4[C@@H](C(=O)C(=C([C@]4(C3=O)O)[O-])C(=O)N)[NH2+]C)O)O	IGNORE:likely_tautomer (tanimoto=0.81, same formula, high structural similarity — likely resonance/tautomer not caught by RDKit enumerator)
cpd35363	(E,E,E)-2,4,7-undecatrienal, nitrosohydrazone	1-hydroxy-3-(2',4',7'-undecatrienylidine)triazene	name_lookup	MISMATCH	MXNLRTNAAYWENH-DJKNLCAGSA-N	NKTGCVUIESDXPU-YLEPRARLSA-N	9576787	CCC/C=C/C/C=C/CC=CN=NN=O	CCC/C=C/C/C=C/C=C/C=N/NN=O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23083	2-amino-6-[(1S,2S)-1,2,3-trihydroxypropyl]-7,8-dihydropteridin-4(3H)-one	CHEBI:71175	chebi_xref	MISMATCH	VFVVPBBLCNJQRK-BKLSDQPFSA-N	YQIFAMYNGGOTFB-NJGYIYPDSA-N	135874849	Nc1nc(=O)c2c([nH]1)NCC(C(=O)[C@@H](O)CO)N2	C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](CO)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23091	ED 110	ED 110	name_lookup	MISMATCH	CYIDHFGWLQVOIJ-FKKAOLSPSA-N	GEFUXTHVYBRRRD-FKKAOLSPSA-N	135705573	O=C1Cc2[nH]c3c4nc5c(=O)cc(O)cc-5c4c4cnc(=O)c4c3c2CC1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C1C(C(=CC2=C1C3=C4C(=C5C6=C(C(=O)CC(=C6)O)N=C5C3=N2)C=NC4=O)O)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23345	Und-PP-{[beta-D-GlcNAc-(1->4)]-MurNAc-L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala-D-Ala}2	a peptidoglycan dimer (E. faeciums)	name_lookup	MISMATCH	WOZKDGPDKRODSE-JLBKNMFSSA-L	MCSKGNVEEFRWNJ-HZZQXYMISA-L	134820076	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O[C@H](C)C(=O)NC(C)C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)C[C@@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](C)C(N)=O)C(N)=O)[C@@H](NC(C)=O)[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)C[C@@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](C)C(N)=O)C(N)=O)[C@H]2NC(C)=O)[C@@H]1O	C[C@@H](C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@@H](CCCCNC(=O)C[C@H](C(=O)N)[NH3+])NC(=O)CC[C@H](C(=O)N)NC(=O)C(C)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)NC(=O)C)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O[C@H](C)C(=O)NC(C)C(=O)N[C@H](CCC(=O)N[C@H](CCCCNC(=O)C[C@H](C(=O)N)[NH3+])C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)[O-])C(=O)N)NC(=O)C)OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CO)CO)NC(=O)C	IGNORE:likely_tautomer (tanimoto=0.93, same formula, high structural similarity — likely resonance/tautomer not caught by RDKit enumerator)
cpd23395	1-(methylsulfanyl)-6-<i>aci</i>-nitrohexane	1-(methylsulfanyl)-6-aci-nitrohexane	name_lookup	MISMATCH	GHTBKFAZGIBUSA-UHFFFAOYSA-N	JTDCVVYTRKWMAE-UHFFFAOYSA-N	123131543	CSCCCCCC[N+](=O)[O-]	CSCCCCC/C=[N+](/O)\[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23401	1-(methylsulfanyl)-8-<i>aci</i>-nitrooctane	1-(methylsulfanyl)-8-aci-nitrooctane	name_lookup	MISMATCH	DUOVRZULGNHGCP-UHFFFAOYSA-N	LXZOOYJPYFVQFL-UHFFFAOYSA-N	123131560	CSCCCCCCCC[N+](=O)[O-]	CSCCCCCCC/C=[N+](/O)\[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23404	1-(methylsulfanyl)-9-<i>aci</i>-nitrononane	1-(methylsulfanyl)-9-aci-nitrononane	name_lookup	MISMATCH	GVCLNXJGDDHQFD-UHFFFAOYSA-N	YNGGFUNKMBPTPS-UHFFFAOYSA-N	123131533	CSCCCCCCCCC[N+](=O)[O-]	CSCCCCCCCC/C=[N+](/O)\[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23606	2-heptyl-3,4-dihydroxyquinoline	2-heptyl-3,4-dihydroxyquinoline	name_lookup	MISMATCH	AAZJDRZCTGURLF-UHFFFAOYSA-N	SLKICHKRVPGLCY-UHFFFAOYSA-N	50986124	CCCCCCCC1Nc2ccccc2C(O)C1=O	CCCCCCCC1=C(C(C2=CC=CC=C2N1)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
