cpd_id	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd00056	CHEBI:58937	chebi_xref	PROTONATION_DIFF	AYEKOFBPNLCAJY-UHFFFAOYSA-M	AYEKOFBPNLCAJY-UHFFFAOYSA-L	15938963	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1	
cpd00062	CHEBI:46398	chebi_xref	PROTONATION_DIFF	PGAVKCOVUIYSFO-XVFCMESISA-K	PGAVKCOVUIYSFO-XVFCMESISA-J	7058168	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	
cpd00068	CHEBI:61402	chebi_xref	PROTONATION_DIFF	HAEJPQIATWHALX-KQYNXXCUSA-K	HAEJPQIATWHALX-KQYNXXCUSA-J	135398642	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	
cpd00074	CHEBI:26833	chebi_xref	PROTONATION_DIFF	RWSOTUBLDIXVET-UHFFFAOYSA-M	RWSOTUBLDIXVET-UHFFFAOYSA-N	402	[SH-]	
cpd00075	CHEBI:16301	chebi_xref	PROTONATION_DIFF	IOVCWXUNBOPUCH-UHFFFAOYSA-N	IOVCWXUNBOPUCH-UHFFFAOYSA-M	946	O=NO	
cpd00081	CHEBI:17359	chebi_xref	PROTONATION_DIFF	LSNNMFCWUKXFEE-UHFFFAOYSA-M	LSNNMFCWUKXFEE-UHFFFAOYSA-L	1099	O=S([O-])O	
cpd00084	CHEBI:35235	chebi_xref	PROTONATION_DIFF	XUJNEKJLAYXESH-REOHCLBHSA-M	XUJNEKJLAYXESH-REOHCLBHSA-N	6419722	[NH3+][C@@H](C[S-])C(=O)[O-]	
cpd00090	CHEBI:58280	chebi_xref	PROTONATION_DIFF	JPXZQMKKFWMMGK-KQYNXXCUSA-L	JPXZQMKKFWMMGK-KQYNXXCUSA-K	135573953	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	
cpd00096	CHEBI:58069	chebi_xref	PROTONATION_DIFF	ZWIADYZPOWUWEW-XVFCMESISA-L	ZWIADYZPOWUWEW-XVFCMESISA-K	20056867	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1	
cpd00103	CHEBI:58017	chebi_xref	PROTONATION_DIFF	PQGCEDQWHSBAJP-TXICZTDVSA-J	PQGCEDQWHSBAJP-TXICZTDVSA-I	20848918	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O	
